Date/Time,Temperature (°F),Dew Point (°F),Heat Index (°F),Feels Like (°F),Wind Chill (°F),Wind Speed (mph),Wind Gust (mph),Wind Direction (°),Wind Direction,Humidity (%),Total Precip (in),Hourly Precip (in),Hourly Snow (in),Visibility (mi),Pressure (inHg),Pressure Trend Code,Pressure Trend,UV Index,UV Description,Weather Icon Code,Extended Icon Code,Weather Summary,Cloud Cover
2020-01-01 05:54:00,40,32,40,33,33,12,,240,WSW,73,,0,,10,29.5,0,Steady,0,Low,26,2600,Cloudy,OVC
2020-01-01 06:54:00,40,29,40,31,31,17,22,250,WSW,65,,0,,10,29.52,,,0,Low,26,2600,Cloudy,OVC
2020-01-01 07:54:00,39,28,39,30,30,16,22,270,W,65,,0,,10,29.53,,,0,Low,26,2600,Cloudy,OVC
2020-01-01 08:54:00,38,25,38,29,29,16,23,270,W,60,,0,,10,29.54,1,Rising,0,Low,27,2700,Mostly Cloudy,BKN
2020-01-01 09:54:00,37,23,37,29,29,12,23,280,W,57,,0,,10,29.54,,,0,Low,29,2900,Partly Cloudy,SCT
2020-01-01 10:54:00,37,24,37,29,29,13,,250,WSW,59,,0,,10,29.54,,,0,Low,29,2900,Partly Cloudy,SCT
2020-01-01 11:54:00,36,25,36,28,28,10,,250,WSW,64,0.04,0,,10,29.55,1,Rising Rapidly,0,Low,34,3400,Fair,FEW
2020-01-01 12:54:00,37,24,37,30,30,9,,250,WSW,59,,0,,10,29.56,,,0,Low,30,3000,Partly Cloudy,SCT
2020-01-01 13:54:00,39,24,39,31,31,14,22,260,W,55,,0,,10,29.57,,,0,Low,34,3400,Fair,FEW
2020-01-01 14:54:00,41,24,41,33,33,16,25,270,W,51,,0,,10,29.59,1,Rising Rapidly,1,Low,34,3400,Fair,FEW
2020-01-01 15:54:00,41,23,41,32,32,18,24,280,W,49,,0,,10,29.59,,,1,Low,30,3000,Partly Cloudy,SCT
2020-01-01 16:54:00,42,24,42,36,36,12,26,270,W,49,,0,,10,29.58,,,1,Low,30,3000,Partly Cloudy,SCT
2020-01-01 17:54:00,42,23,42,33,33,21,35,260,W,47,,0,,10,29.57,2,Falling Rapidly,1,Low,30,3090,Partly Cloudy / Windy,SCT
2020-01-01 18:54:00,41,23,41,32,32,20,32,280,W,49,,0,,10,29.57,,,0,Low,30,3000,Partly Cloudy,SCT
2020-01-01 19:54:00,41,23,41,32,32,17,28,280,W,49,,0,,10,29.6,,,0,Low,30,3000,Partly Cloudy,SCT
2020-01-01 20:54:00,40,22,40,32,32,15,22,290,WNW,49,,0,,10,29.62,1,Rising Rapidly,0,Low,30,3000,Partly Cloudy,SCT
2020-01-01 21:54:00,40,22,40,31,31,16,22,280,W,49,,0,,10,29.65,,,0,Low,29,2900,Partly Cloudy,SCT
2020-01-01 22:54:00,39,23,39,31,31,15,25,280,W,53,,0,,10,29.67,,,0,Low,33,3300,Fair,FEW
2020-01-01 23:54:00,38,23,38,28,28,20,26,280,W,55,,0,,10,29.69,1,Rising,0,Low,33,3300,Fair,CLR
2020-01-02 00:54:00,38,22,38,29,29,17,24,280,W,53,,0,,10,29.71,,,0,Low,33,3300,Fair,CLR
2020-01-02 01:54:00,38,22,38,29,29,17,28,270,W,53,,0,,10,29.72,,,0,Low,33,3300,Fair,CLR
2020-01-02 02:54:00,37,22,37,28,28,16,26,270,W,54,,0,,10,29.74,1,Rising,0,Low,33,3300,Fair,FEW
2020-01-02 03:54:00,37,21,37,27,27,18,26,280,W,52,,0,,10,29.75,,,0,Low,33,3300,Fair,CLR
2020-01-02 04:54:00,36,20,36,26,26,16,24,260,W,52,,0,,10,29.77,,,0,Low,33,3300,Fair,FEW
2020-01-02 05:54:00,37,20,37,27,27,18,26,270,W,50,,0,,10,29.79,1,Rising Rapidly,0,Low,29,2900,Partly Cloudy,SCT
2020-01-02 06:54:00,37,21,37,29,29,12,21,260,W,52,,0,,10,29.82,,,0,Low,27,2700,Mostly Cloudy,BKN
2020-01-02 07:54:00,36,21,36,29,29,9,17,250,WSW,55,,0,,10,29.82,,,0,Low,33,3300,Fair,FEW
2020-01-02 08:54:00,34,21,34,26,26,10,,220,SW,59,,0,,10,29.83,1,Rising,0,Low,33,3300,Fair,FEW
2020-01-02 09:54:00,36,23,36,28,28,12,,230,SW,59,,0,,10,29.83,,,0,Low,26,2600,Cloudy,OVC
2020-01-02 10:54:00,35,22,35,27,27,12,,230,SW,59,,0,,10,29.85,,,0,Low,26,2600,Cloudy,OVC
2020-01-02 11:54:00,35,22,35,26,26,14,,240,WSW,59,,0,,10,29.87,1,Rising Rapidly,0,Low,28,2800,Mostly Cloudy,BKN
2020-01-02 12:54:00,36,22,36,28,28,12,,240,WSW,57,,0,,10,29.89,,,0,Low,28,2800,Mostly Cloudy,BKN
2020-01-02 13:54:00,37,23,37,28,28,15,,230,SW,57,,0,,10,29.89,,,0,Low,28,2800,Mostly Cloudy,BKN
2020-01-02 14:54:00,39,23,39,31,31,13,20,240,WSW,53,,0,,10,29.89,0,Steady,0,Low,28,2800,Mostly Cloudy,BKN
2020-01-02 15:54:00,41,22,41,33,33,14,,240,WSW,47,,0,,10,29.88,,,1,Low,28,2800,Mostly Cloudy,BKN
2020-01-02 16:54:00,43,21,43,38,38,9,,230,SW,42,,0,,10,29.84,,,1,Low,30,3000,Partly Cloudy,SCT
2020-01-02 17:54:00,47,20,47,41,41,14,,240,WSW,34,,0,,10,29.83,2,Falling Rapidly,1,Low,34,3400,Fair,FEW
2020-01-02 18:54:00,47,21,47,42,42,12,,230,SW,36,,0,,10,29.81,,,1,Low,34,3400,Fair,FEW
2020-01-02 19:54:00,48,23,48,42,42,16,,240,WSW,37,,0,,10,29.83,,,0,Low,34,3400,Fair,FEW
2020-01-02 21:54:00,45,26,45,41,41,8,,210,SSW,48,,0,,10,29.83,,,0,Low,27,2700,Mostly Cloudy,BKN
2020-01-02 22:54:00,44,28,44,39,39,9,,190,S,53,,0,,10,29.82,,,0,Low,27,2700,Mostly Cloudy,BKN
2020-01-02 23:54:00,43,28,43,39,39,7,,200,SSW,56,,0,,10,29.82,2,Falling Rapidly,0,Low,27,2700,Mostly Cloudy,BKN
2020-01-03 01:54:00,44,28,44,37,37,14,,230,SW,53,,0,,10,29.8,,,0,Low,27,2700,Mostly Cloudy,BKN
2020-01-03 02:54:00,44,30,44,37,37,15,,220,SW,58,,0,,10,29.79,2,Falling,0,Low,26,2600,Cloudy,OVC
2020-01-03 03:54:00,45,31,45,38,38,16,,220,SW,58,,0,,10,29.78,,,0,Low,26,2600,Cloudy,OVC
2020-01-03 04:54:00,45,31,45,38,38,15,,230,SW,58,,0,,10,29.76,,,0,Low,26,2600,Cloudy,OVC
2020-01-03 05:54:00,46,31,46,41,41,12,,240,WSW,56,,0,,10,29.75,2,Falling,0,Low,26,2600,Cloudy,OVC
2020-01-03 06:54:00,44,31,44,39,39,9,,230,SW,60,,0,,10,29.75,,,0,Low,26,2600,Cloudy,OVC
2020-01-03 07:54:00,45,31,45,40,40,9,,220,SW,58,,0,,10,29.74,,,0,Low,26,2600,Cloudy,OVC
2020-01-03 08:54:00,45,31,45,41,41,8,,240,WSW,58,,0,,10,29.75,1,Rising Rapidly,0,Low,26,2600,Cloudy,OVC
2020-01-03 09:54:00,45,31,45,42,42,6,,230,SW,58,,0,,10,29.75,,,0,Low,26,2600,Cloudy,OVC
2020-01-03 10:54:00,46,31,46,43,43,6,,230,SW,56,,0,,10,29.77,,,0,Low,26,2600,Cloudy,OVC
2020-01-03 11:54:00,45,31,45,42,42,6,,200,SSW,58,,0,,10,29.76,0,Steady,0,Low,26,2600,Cloudy,OVC
2020-01-03 12:54:00,46,32,46,41,41,9,,220,SW,58,,0,,10,29.78,,,0,Low,26,2600,Cloudy,OVC
2020-01-03 13:54:00,47,32,47,43,43,8,,220,SW,56,,0,,10,29.79,,,0,Low,26,2600,Cloudy,OVC
2020-01-03 14:54:00,48,33,48,44,44,9,,240,WSW,56,,0,,10,29.79,1,Rising,0,Low,26,2600,Cloudy,OVC
2020-01-03 15:54:00,49,33,49,45,45,9,,230,SW,54,,0,,10,29.77,,,0,Low,26,2600,Cloudy,OVC
2020-01-03 16:54:00,50,33,50,50,50,9,,230,SW,52,,0,,10,29.74,,,1,Low,26,2600,Cloudy,OVC
2020-01-03 17:54:00,51,32,51,51,51,7,,280,W,48,,0,,10,29.72,2,Falling,0,Low,26,2600,Cloudy,OVC
2020-01-03 18:54:00,51,33,51,51,51,0,,,CALM,50,,0,,10,29.7,,,0,Low,26,2600,Cloudy,OVC
2020-01-03 19:54:00,51,34,51,51,51,5,,240,WSW,52,,0,,10,29.73,,,0,Low,26,2600,Cloudy,OVC
2020-01-03 20:54:00,50,34,50,50,50,7,,230,SW,54,,0,,10,29.73,1,Rising Rapidly,0,Low,26,2600,Cloudy,OVC
2020-01-03 21:54:00,49,34,49,47,47,6,,230,SW,56,,0,,10,29.74,,,0,Low,26,2600,Cloudy,OVC
2020-01-03 22:54:00,49,35,49,45,45,8,,220,SW,59,,0,,10,29.76,,,0,Low,26,2600,Cloudy,OVC
2020-01-03 23:54:00,50,36,50,50,50,8,,210,SSW,59,,0,,10,29.74,0,Steady,0,Low,26,2600,Cloudy,OVC
